compton scattering tool (30sec runtime),,,,,
energy (keV),counts,counts_err,dE (keV),angle (deg),dAngle (deg)
18.4,0,0,0.2,150,1
18.3,0,0,0.2,150,1
18.2,0,0,0.2,150,1
18.1,0,0,0.2,150,1
18.0,7,2.6,0.2,150,1
17.9,18,4.2,0.2,150,1
17.8,27,5.2,0.2,150,1
17.7,14,3.7,0.2,150,1
17.6,7,2.6,0.2,150,1
17.5,0,0,0.2,150,1
17.4,0,0,0.2,150,1
17.3,0,0,0.2,150,1
17.2,0,0,0.2,150,1
